DB_ID,INDEX
DB00635,64
DB00636,1044
DB00637,1045
DB00640,308
DB00641,307
DB00642,306
DB00643,1462
DB00645,305
DB00647,304
DB00648,1467
DB00649,314
DB00650,392
DB00651,393
DB00652,394
DB00653,395
DB00654,389
DB00655,390
DB00656,391
DB00658,398
DB00660,500
DB00661,499
DB00662,501
DB00665,1242
DB00666,502
DB00668,503
DB00669,1244
DB00671,615
DB00672,613
DB00673,614
DB00674,611
DB00675,612
DB00677,428
DB00678,608
DB00679,609
DB00680,46
DB00681,45
DB00682,44
DB00683,43
DB00684,49
DB00685,48
DB00687,47
DB00688,51
DB00689,50
DB00690,171
DB00691,172
DB00694,174
DB00695,175
DB00696,176
DB00698,177
DB00700,626
DB00701,461
DB00703,625
DB00704,463
DB00705,464
DB00706,627
DB00708,632
DB00709,633
DB00710,933
DB00711,270
DB00712,525
DB00714,244
DB00715,1279
DB00717,251
DB00718,528
DB00719,527
DB00720,371
DB00721,372
DB00722,373
DB00726,374
DB00727,375
DB00728,370
DB00730,1357
DB00731,765
DB00732,1351
DB00734,1416
DB00736,1415
DB00737,227
DB00738,275
DB00740,857
DB00741,13
DB00742,0
DB00743,104
DB00744,1464
DB00745,1470
DB00746,1437
DB00749,156
DB00752,30
DB00753,29
DB00754,32
DB00755,31
DB00757,197
DB00758,202
DB00759,198
DB00760,1408
DB00761,1409
DB00762,1410
DB00763,1411
DB00764,1405
DB00765,1406
DB00766,1407
DB00768,1414
DB00769,1060
DB00770,344
DB00771,339
DB00773,1314
DB00774,329
DB00775,1312
DB00776,1311
DB00778,1320
DB00779,1319
DB00780,1391
DB00781,1392
DB00783,1390
DB00784,1394
DB00787,1393
DB00788,1389
DB00790,1302
DB00792,402
DB00794,1300
DB00796,1301
DB00798,1299
DB00799,1298
DB00800,1139
DB00802,1140
DB00805,1137
DB00806,1138
DB00808,761
DB00809,1141
DB00810,1219
DB00811,1220
DB00812,1332
DB00813,1218
DB00814,1222
DB00816,1221
DB00818,1223
DB00820,982
DB00821,981
DB00822,980
DB00827,957
DB00828,955
DB00829,954
DB00830,1054
DB00831,109
DB00832,1055
DB00833,1056
DB00834,1057
DB00835,1058
DB00836,114
DB00837,694
DB00839,105
DB00842,752
DB00843,751
DB00844,754
DB00845,753
DB00847,755
DB00848,757
DB00849,756
DB00850,1145
DB00851,363
DB00852,868
DB00854,867
DB00857,866
DB00859,359
DB00860,545
DB00861,544
DB00862,543
DB00863,542
DB00864,541
DB00865,540
DB00866,539
DB00867,538
DB00869,546
DB00870,646
DB00871,647
DB00872,648
DB00875,644
DB00876,645
DB00879,1342
DB00880,507
DB00881,506
DB00882,509
DB00883,508
DB00884,1245
DB00886,505
DB00887,504
DB00888,1243
DB00889,1213
DB00890,429
DB00891,1074
DB00893,610
DB00894,436
DB00895,437
DB00897,435
DB00898,604
DB00899,605
DB00900,1037
DB00903,1039
DB00904,1033
DB00905,1034
DB00906,1035
DB00907,1036
DB00909,1032
DB00910,941
DB00911,940
DB00912,939
DB00915,938
DB00916,937
DB00917,936
DB00919,935
DB00920,1205
DB00921,1206
DB00922,1203
DB00923,1204
DB00924,1201
DB00925,1202
DB00927,1234
DB00928,110
DB00929,1210
DB00930,1127
DB00932,1129
DB00933,1128
DB00934,1130
DB00936,1132
DB00937,1131
DB00938,1125
DB00939,1124
DB00940,1273
DB00943,1047
DB00944,1144
DB00945,1051
DB00946,1053
DB00947,657
DB00948,1412
DB00949,1413
DB00950,1313
DB00951,423
DB00952,421
DB00953,420
DB00954,1316
DB00955,1315
DB00956,424
DB00957,1417
DB00958,1449
